source,Date
MKXD,2021-01-19
KKXD,2021-01-19
MCXD,2021-01-20
KNXD,2021-01-20
MTXD,2021-01-20
CPXD,2021-01-20
TLXD,2021-01-20
KKXD,2021-01-20
GLXD,2021-01-20
MKXD,2021-01-20
TPXD,2021-01-20
NCXD,2021-01-20
NFXD,2021-01-20
TPXD,2021-01-21
KNXD,2021-01-21
MCXD,2021-01-21
NCXD,2021-01-21
MTXD,2021-01-21
GLXD,2021-01-21
CPXD,2021-01-21
MKXD,2021-01-21
NFXD,2021-01-21
KKXD,2021-01-21
TLXD,2021-01-21
TPXD,2021-01-22
MKXD,2021-01-22
MTXD,2021-01-22
KNXD,2021-01-22
NFXD,2021-01-22
NCXD,2021-01-22
MCXD,2021-01-22
KKXD,2021-01-22
CPXD,2021-01-22
GLXD,2021-01-22
TLXD,2021-01-22
GLXD,2021-01-25
TPXD,2021-01-25
NFXD,2021-01-25
MKXD,2021-01-25
KKXD,2021-01-25
CPXD,2021-01-25
KNXD,2021-01-25
MCXD,2021-01-25
TLXD,2021-01-25
NCXD,2021-01-25
MTXD,2021-01-25
CPXD,2021-01-26
MTXD,2021-01-26
MKXD,2021-01-26
NCXD,2021-01-26
NFXD,2021-01-26
KNXD,2021-01-26
KKXD,2021-01-26
GLXD,2021-01-26
MCXD,2021-01-26
TLXD,2021-01-26
TPXD,2021-01-26
NCXD,2021-01-27
KKXD,2021-01-27
CPXD,2021-01-27
GLXD,2021-01-27
NFXD,2021-01-27
TLXD,2021-01-27
MKXD,2021-01-27
MCXD,2021-01-27
TPXD,2021-01-27
MTXD,2021-01-27
KNXD,2021-01-27
NFXD,2021-01-28
CPXD,2021-01-28
NCXD,2021-01-28
MTXD,2021-01-28
MKXD,2021-01-28
MCXD,2021-01-28
KKXD,2021-01-28
KNXD,2021-01-28
TLXD,2021-01-28
GLXD,2021-01-28
TPXD,2021-01-28
CPXD,2021-01-29
XYZF,2021-01-29
NFXD,2021-01-29
GHIF,2021-01-29
TLXD,2021-01-29
DEFF,2021-01-29
JKLF,2021-01-29
ABCF,2021-01-29
MTXD,2021-01-29
QRSTF,2021-01-29
MNOF,2021-01-29
MCXD,2021-01-29
GLXD,2021-01-29
MKXD,2021-01-29
KNXD,2021-01-29
KKXD,2021-01-29
NCXD,2021-01-29
UVWF,2021-01-29
TPXD,2021-01-29
XYZM,2021-02-01
UVWM,2021-02-01
GHIM,2021-02-01
MNOM,2021-02-01
MCXD,2021-02-01
MKXD,2021-02-01
TPXD,2021-02-01
KNXD,2021-02-01
GLXD,2021-02-01
QRSTM,2021-02-01
NCXD,2021-02-01
KKXD,2021-02-01
ABCM,2021-02-01
DEFM,2021-02-01
MTXD,2021-02-01
TLXD,2021-02-01
CPXD,2021-02-01
JKLM,2021-02-01
NFXD,2021-02-01
KNXD,2021-02-02
MKXD,2021-02-02
NCXD,2021-02-02
TLXD,2021-02-02
MCXD,2021-02-02
TPXD,2021-02-02
NFXD,2021-02-02
KKXD,2021-02-02
CPXD,2021-02-02
MTXD,2021-02-02
GLXD,2021-02-02
KKXD,2021-02-03
NCXD,2021-02-03
KNXD,2021-02-03
MCXD,2021-02-03
MTXD,2021-02-03
NFXD,2021-02-03
GLXD,2021-02-03
CPXD,2021-02-03
MKXD,2021-02-03
TLXD,2021-02-03
TPXD,2021-02-03
GLXD,2021-02-04
NCXD,2021-02-04
NFXD,2021-02-04
KNXD,2021-02-04
MTXD,2021-02-04
MKXD,2021-02-04
CPXD,2021-02-04
MCXD,2021-02-04
KKXD,2021-02-04
TLXD,2021-02-04
TPXD,2021-02-04
MCXD,2021-02-05
TLXD,2021-02-05
NFXD,2021-02-05
TPXD,2021-02-05
NCXD,2021-02-05
CPXD,2021-02-05
GLXD,2021-02-05
MTXD,2021-02-05
MKXD,2021-02-05
KKXD,2021-02-05
KNXD,2021-02-05
GLXD,2021-02-08
TLXD,2021-02-08
NCXD,2021-02-08
KKXD,2021-02-08
KNXD,2021-02-08
MCXD,2021-02-08
TPXD,2021-02-08
MTXD,2021-02-08
CPXD,2021-02-08
NFXD,2021-02-08
MKXD,2021-02-08
MKXD,2021-02-09
KKXD,2021-02-09
MCXD,2021-02-09
TPXD,2021-02-09
NFXD,2021-02-09
TLXD,2021-02-09
GLXD,2021-02-09
NCXD,2021-02-09
CPXD,2021-02-09
MTXD,2021-02-09
KNXD,2021-02-09
KNXD,2021-02-10
CPXD,2021-02-10
MTXD,2021-02-10
KKXD,2021-02-10
NFXD,2021-02-10
TLXD,2021-02-10
MCXD,2021-02-10
GLXD,2021-02-10
NCXD,2021-02-10
TPXD,2021-02-10
MKXD,2021-02-10
CPXD,2021-02-11
NFXD,2021-02-11
MKXD,2021-02-11
GLXD,2021-02-11
KNXD,2021-02-11
MCXD,2021-02-11
TPXD,2021-02-11
TLXD,2021-02-11
KKXD,2021-02-11
MTXD,2021-02-11
NCXD,2021-02-11
DEFF,2021-02-12
MCXD,2021-02-12
MKXD,2021-02-12
GHIF,2021-02-12
KNXD,2021-02-12
CPXD,2021-02-12
TLXD,2021-02-12
NCXD,2021-02-12
JKLF,2021-02-12
MNOF,2021-02-12
XYZF,2021-02-12
KKXD,2021-02-12
MTXD,2021-02-12
GLXD,2021-02-12
QRSTF,2021-02-12
NFXD,2021-02-12
ABCF,2021-02-12
UVWF,2021-02-12
TPXD,2021-02-12
GLXD,2021-02-15
MCXD,2021-02-15
TLXD,2021-02-15
NCXD,2021-02-15
MTXD,2021-02-15
KKXD,2021-02-15
NFXD,2021-02-15
CPXD,2021-02-15
MKXD,2021-02-15
TPXD,2021-02-15
KNXD,2021-02-15
MKXD,2021-02-16
KKXD,2021-02-16
CPXD,2021-02-16
MCXD,2021-02-16
GLXD,2021-02-16
TPXD,2021-02-16
NFXD,2021-02-16
MTXD,2021-02-16
NCXD,2021-02-16
KNXD,2021-02-16
TLXD,2021-02-16
MCXD,2021-02-17
GLXD,2021-02-17
TPXD,2021-02-17
MTXD,2021-02-17
TLXD,2021-02-17
CPXD,2021-02-17
NCXD,2021-02-17
KNXD,2021-02-17
KKXD,2021-02-17
NFXD,2021-02-17
MKXD,2021-02-17
CPXD,2021-02-18
TLXD,2021-02-18
MCXD,2021-02-18
MTXD,2021-02-18
NCXD,2021-02-18
NFXD,2021-02-18
KNXD,2021-02-18
GLXD,2021-02-18
KKXD,2021-02-18
MKXD,2021-02-18
TPXD,2021-02-18
NFXD,2021-02-19
MKXD,2021-02-19
GLXD,2021-02-19
CPXD,2021-02-19
KKXD,2021-02-19
MTXD,2021-02-19
TPXD,2021-02-19
TLXD,2021-02-19
KNXD,2021-02-19
NCXD,2021-02-19
MCXD,2021-02-19
NFXD,2021-02-22
GLXD,2021-02-22
MKXD,2021-02-22
KNXD,2021-02-22
MTXD,2021-02-22
NCXD,2021-02-22
KKXD,2021-02-22
TPXD,2021-02-22
CPXD,2021-02-22
TLXD,2021-02-22
MCXD,2021-02-22
KNXD,2021-02-23
TLXD,2021-02-23
GLXD,2021-02-23
MKXD,2021-02-23
KKXD,2021-02-23
NCXD,2021-02-23
CPXD,2021-02-23
NFXD,2021-02-23
TPXD,2021-02-23
MCXD,2021-02-23
MTXD,2021-02-23
MCXD,2021-02-24
TLXD,2021-02-24
TPXD,2021-02-24
KNXD,2021-02-24
NCXD,2021-02-24
NFXD,2021-02-24
GLXD,2021-02-24
MTXD,2021-02-24
MKXD,2021-02-24
KKXD,2021-02-24
CPXD,2021-02-24
KKXD,2021-02-25
NFXD,2021-02-25
MTXD,2021-02-25
CPXD,2021-02-25
TLXD,2021-02-25
TPXD,2021-02-25
MCXD,2021-02-25
KNXD,2021-02-25
GLXD,2021-02-25
MKXD,2021-02-25
NCXD,2021-02-25
DEFF,2021-02-26
NCXD,2021-02-26
GHIF,2021-02-26
GLXD,2021-02-26
MTXD,2021-02-26
JKLF,2021-02-26
QRSTF,2021-02-26
UVWF,2021-02-26
ABCF,2021-02-26
CPXD,2021-02-26
XYZF,2021-02-26
KNXD,2021-02-26
MKXD,2021-02-26
NFXD,2021-02-26
MCXD,2021-02-26
TPXD,2021-02-26
TLXD,2021-02-26
MNOF,2021-02-26
KKXD,2021-02-26
MNOM,2021-03-01
GLXD,2021-03-01
JKLM,2021-03-01
MTXD,2021-03-01
QRSTM,2021-03-01
UVWM,2021-03-01
ABCM,2021-03-01
MKXD,2021-03-01
NCXD,2021-03-01
DEFM,2021-03-01
GHIM,2021-03-01
TPXD,2021-03-01
CPXD,2021-03-01
KKXD,2021-03-01
XYZM,2021-03-01
MCXD,2021-03-01
KNXD,2021-03-01
TLXD,2021-03-01
NFXD,2021-03-01
KKXD,2021-03-02
NFXD,2021-03-02
GLXD,2021-03-02
TPXD,2021-03-02
KNXD,2021-03-02
MKXD,2021-03-02
TLXD,2021-03-02
CPXD,2021-03-02
MCXD,2021-03-02
NCXD,2021-03-02
MTXD,2021-03-02
NCXD,2021-03-03
MKXD,2021-03-03
NFXD,2021-03-03
TPXD,2021-03-03
CPXD,2021-03-03
KNXD,2021-03-03
MCXD,2021-03-03
TLXD,2021-03-03
GLXD,2021-03-03
MTXD,2021-03-03
KKXD,2021-03-03
MTXD,2021-03-04
MCXD,2021-03-04
CPXD,2021-03-04
TLXD,2021-03-04
NCXD,2021-03-04
KKXD,2021-03-04
KNXD,2021-03-04
NFXD,2021-03-04
GLXD,2021-03-04
MKXD,2021-03-04
TPXD,2021-03-04
TPXD,2021-03-05
NFXD,2021-03-05
KNXD,2021-03-05
NCXD,2021-03-05
TLXD,2021-03-05
MKXD,2021-03-05
CPXD,2021-03-05
MCXD,2021-03-05
GLXD,2021-03-05
KKXD,2021-03-05
MTXD,2021-03-05
TPXD,2021-03-08
CPXD,2021-03-08
NFXD,2021-03-08
MTXD,2021-03-08
GLXD,2021-03-08
NCXD,2021-03-08
MCXD,2021-03-08
TLXD,2021-03-08
KKXD,2021-03-08
MKXD,2021-03-08
KNXD,2021-03-08
NFXD,2021-03-09
NCXD,2021-03-09
MCXD,2021-03-09
MKXD,2021-03-09
MTXD,2021-03-09
GLXD,2021-03-09
KNXD,2021-03-09
CPXD,2021-03-09
TLXD,2021-03-09
TPXD,2021-03-09
KKXD,2021-03-09
MTXD,2021-03-10
MCXD,2021-03-10
TLXD,2021-03-10
GLXD,2021-03-10
NFXD,2021-03-10
KKXD,2021-03-10
TPXD,2021-03-10
MKXD,2021-03-10
CPXD,2021-03-10
NCXD,2021-03-10
KNXD,2021-03-10
KKXD,2021-03-11
MKXD,2021-03-11
MCXD,2021-03-11
TLXD,2021-03-11
KNXD,2021-03-11
NFXD,2021-03-11
MTXD,2021-03-11
NCXD,2021-03-11
GLXD,2021-03-11
TPXD,2021-03-11
CPXD,2021-03-11
GHIF,2021-03-12
NFXD,2021-03-12
JKLF,2021-03-12
MNOF,2021-03-12
QRSTF,2021-03-12
UVWF,2021-03-12
KNXD,2021-03-12
ABCF,2021-03-12
DEFF,2021-03-12
NCXD,2021-03-12
TLXD,2021-03-12
MCXD,2021-03-12
GLXD,2021-03-12
XYZF,2021-03-12
MKXD,2021-03-12
KKXD,2021-03-12
CPXD,2021-03-12
TPXD,2021-03-12
MTXD,2021-03-12
MTXD,2021-03-15
GLXD,2021-03-15
MKXD,2021-03-15
KNXD,2021-03-15
TLXD,2021-03-15
TPXD,2021-03-15
KKXD,2021-03-15
CPXD,2021-03-15
MCXD,2021-03-15
NFXD,2021-03-15
NCXD,2021-03-15
TPXD,2021-03-16
NCXD,2021-03-16
TLXD,2021-03-16
KKXD,2021-03-16
CPXD,2021-03-16
MTXD,2021-03-16
KNXD,2021-03-16
GLXD,2021-03-16
MKXD,2021-03-16
MCXD,2021-03-16
NFXD,2021-03-16
KKXD,2021-03-17
TLXD,2021-03-17
NCXD,2021-03-17
KNXD,2021-03-17
MKXD,2021-03-17
MTXD,2021-03-17
CPXD,2021-03-17
GLXD,2021-03-17
MCXD,2021-03-17
TPXD,2021-03-17
NFXD,2021-03-17
TPXD,2021-03-18
MKXD,2021-03-18
GLXD,2021-03-18
TLXD,2021-03-18
NFXD,2021-03-18
CPXD,2021-03-18
MTXD,2021-03-18
KKXD,2021-03-18
NCXD,2021-03-18
MCXD,2021-03-18
KNXD,2021-03-18
TLXD,2021-03-19
MCXD,2021-03-19
NFXD,2021-03-19
MKXD,2021-03-19
KKXD,2021-03-19
MTXD,2021-03-19
KNXD,2021-03-19
NCXD,2021-03-19
CPXD,2021-03-19
GLXD,2021-03-19
TPXD,2021-03-19
KKXD,2021-03-22
KNXD,2021-03-22
GLXD,2021-03-22
NFXD,2021-03-22
TLXD,2021-03-22
MKXD,2021-03-22
NCXD,2021-03-22
CPXD,2021-03-22
MTXD,2021-03-22
TPXD,2021-03-22
MCXD,2021-03-22
CPXD,2021-03-23
KNXD,2021-03-23
NFXD,2021-03-23
KKXD,2021-03-23
MCXD,2021-03-23
TLXD,2021-03-23
TPXD,2021-03-23
GLXD,2021-03-23
MKXD,2021-03-23
MTXD,2021-03-23
NCXD,2021-03-23
KKXD,2021-03-24
NCXD,2021-03-24
NFXD,2021-03-24
CPXD,2021-03-24
TLXD,2021-03-24
MTXD,2021-03-24
KNXD,2021-03-24
MKXD,2021-03-24
TPXD,2021-03-24
GLXD,2021-03-24
MCXD,2021-03-24
MTXD,2021-03-25
GLXD,2021-03-25
MKXD,2021-03-25
MCXD,2021-03-25
NCXD,2021-03-25
CPXD,2021-03-25
KNXD,2021-03-25
NFXD,2021-03-25
TLXD,2021-03-25
KKXD,2021-03-25
TPXD,2021-03-25
TPXD,2021-03-26
MKXD,2021-03-26
GLXD,2021-03-26
KKXD,2021-03-26
MCXD,2021-03-26
UVWF,2021-03-26
NFXD,2021-03-26
MNOF,2021-03-26
KNXD,2021-03-26
JKLF,2021-03-26
NCXD,2021-03-26
ABCF,2021-03-26
GHIF,2021-03-26
MTXD,2021-03-26
TLXD,2021-03-26
CPXD,2021-03-26
DEFF,2021-03-26
QRSTF,2021-03-26
XYZF,2021-03-26
NFXD,2021-03-29
GLXD,2021-03-29
MKXD,2021-03-29
TPXD,2021-03-29
MTXD,2021-03-29
KKXD,2021-03-29
MCXD,2021-03-29
NCXD,2021-03-29
CPXD,2021-03-29
TLXD,2021-03-29
KNXD,2021-03-29
TPXD,2021-03-30
GLXD,2021-03-30
KKXD,2021-03-30
MCXD,2021-03-30
NCXD,2021-03-30
CPXD,2021-03-30
MTXD,2021-03-30
KNXD,2021-03-30
TLXD,2021-03-30
MKXD,2021-03-30
NFXD,2021-03-30
GHIQ,2021-03-31
QRSTQ,2021-03-31
UVWQ,2021-03-31
TLXD,2021-03-31
NFXD,2021-03-31
GLXD,2021-03-31
TPXD,2021-03-31
ABCQ,2021-03-31
XYZQ,2021-03-31
DEFQ,2021-03-31
NCXD,2021-03-31
JKLQ,2021-03-31
KNXD,2021-03-31
MNOQ,2021-03-31
MKXD,2021-03-31
CPXD,2021-03-31
MTXD,2021-03-31
KKXD,2021-03-31
MCXD,2021-03-31
MNOM,2021-04-01
JKLM,2021-04-01
GHIM,2021-04-01
XYZM,2021-04-01
QRSTM,2021-04-01
UVWM,2021-04-01
MKXD,2021-04-01
TPXD,2021-04-01
KKXD,2021-04-01
MCXD,2021-04-01
DEFM,2021-04-01
TLXD,2021-04-01
GLXD,2021-04-01
ABCM,2021-04-01
MTXD,2021-04-01
CPXD,2021-04-01
NCXD,2021-04-01
KNXD,2021-04-01
NFXD,2021-04-01
KKXD,2021-04-02
MTXD,2021-04-02
CPXD,2021-04-02
KNXD,2021-04-02
GLXD,2021-04-02
TPXD,2021-04-02
NFXD,2021-04-02
NCXD,2021-04-02
TLXD,2021-04-02
MCXD,2021-04-02
MKXD,2021-04-02
KNXD,2021-04-05
NCXD,2021-04-05
CPXD,2021-04-05
KKXD,2021-04-05
TLXD,2021-04-05
MCXD,2021-04-05
MTXD,2021-04-05
TPXD,2021-04-05
NFXD,2021-04-05
GLXD,2021-04-05
MKXD,2021-04-05
TLXD,2021-04-06
TPXD,2021-04-06
NFXD,2021-04-06
NCXD,2021-04-06
MCXD,2021-04-06
KKXD,2021-04-06
KNXD,2021-04-06
GLXD,2021-04-06
MTXD,2021-04-06
CPXD,2021-04-06
MKXD,2021-04-06
GLXD,2021-04-07
NCXD,2021-04-07
CPXD,2021-04-07
TPXD,2021-04-07
MTXD,2021-04-07
MCXD,2021-04-07
KNXD,2021-04-07
NFXD,2021-04-07
MKXD,2021-04-07
TLXD,2021-04-07
KKXD,2021-04-07
CPXD,2021-04-08
KNXD,2021-04-08
NCXD,2021-04-08
TLXD,2021-04-08
GLXD,2021-04-08
TPXD,2021-04-08
MKXD,2021-04-08
NFXD,2021-04-08
MTXD,2021-04-08
MCXD,2021-04-08
KKXD,2021-04-08
CPXD,2021-04-09
MTXD,2021-04-09
GLXD,2021-04-09
GHIF,2021-04-09
MKXD,2021-04-09
KKXD,2021-04-09
DEFF,2021-04-09
NFXD,2021-04-09
QRSTF,2021-04-09
ABCF,2021-04-09
NCXD,2021-04-09
MCXD,2021-04-09
TLXD,2021-04-09
UVWF,2021-04-09
TPXD,2021-04-09
JKLF,2021-04-09
MNOF,2021-04-09
XYZF,2021-04-09
KNXD,2021-04-09
MCXD,2021-04-12
NFXD,2021-04-12
KNXD,2021-04-12
MTXD,2021-04-12
NCXD,2021-04-12
TPXD,2021-04-12
CPXD,2021-04-12
MKXD,2021-04-12
TLXD,2021-04-12
GLXD,2021-04-12
KKXD,2021-04-12
MKXD,2021-04-13
MTXD,2021-04-13
NCXD,2021-04-13
KKXD,2021-04-13
GLXD,2021-04-13
KNXD,2021-04-13
MCXD,2021-04-13
TPXD,2021-04-13
CPXD,2021-04-13
NFXD,2021-04-13
TLXD,2021-04-13
CPXD,2021-04-14
NCXD,2021-04-14
GLXD,2021-04-14
KNXD,2021-04-14
MCXD,2021-04-14
TPXD,2021-04-14
TLXD,2021-04-14
MTXD,2021-04-14
KKXD,2021-04-14
NFXD,2021-04-14
MKXD,2021-04-14
KNXD,2021-04-15
MKXD,2021-04-15
KKXD,2021-04-15
GLXD,2021-04-15
CPXD,2021-04-15
MCXD,2021-04-15
TPXD,2021-04-15
NFXD,2021-04-15
NCXD,2021-04-15
TLXD,2021-04-15
MTXD,2021-04-15
MKXD,2021-04-16
KNXD,2021-04-16
GLXD,2021-04-16
MCXD,2021-04-16
MTXD,2021-04-16
NCXD,2021-04-16
KKXD,2021-04-16
TPXD,2021-04-16
CPXD,2021-04-16
TLXD,2021-04-16
NFXD,2021-04-16
GLXD,2021-04-19
NFXD,2021-04-19
MKXD,2021-04-19
KNXD,2021-04-19
MCXD,2021-04-19
TPXD,2021-04-19
KKXD,2021-04-19
MTXD,2021-04-19
TLXD,2021-04-19
CPXD,2021-04-19
NCXD,2021-04-19
TLXD,2021-04-20
CPXD,2021-04-20
KKXD,2021-04-20
GLXD,2021-04-20
KNXD,2021-04-20
NFXD,2021-04-20
MCXD,2021-04-20
NCXD,2021-04-20
TPXD,2021-04-20
MTXD,2021-04-20
MKXD,2021-04-20
MKXD,2021-04-21
NCXD,2021-04-21
GLXD,2021-04-21
KNXD,2021-04-21
TPXD,2021-04-21
MTXD,2021-04-21
TLXD,2021-04-21
NFXD,2021-04-21
KKXD,2021-04-21
CPXD,2021-04-21
MCXD,2021-04-21
TLXD,2021-04-22
NFXD,2021-04-22
KNXD,2021-04-22
KKXD,2021-04-22
GLXD,2021-04-22
NCXD,2021-04-22
MKXD,2021-04-22
MTXD,2021-04-22
MCXD,2021-04-22
TPXD,2021-04-22
CPXD,2021-04-22
TLXD,2021-04-23
TPXD,2021-04-23
QRSTF,2021-04-23
MCXD,2021-04-23
NFXD,2021-04-23
KKXD,2021-04-23
GHIF,2021-04-23
UVWF,2021-04-23
NCXD,2021-04-23
GLXD,2021-04-23
MKXD,2021-04-23
MNOF,2021-04-23
CPXD,2021-04-23
DEFF,2021-04-23
MTXD,2021-04-23
JKLF,2021-04-23
XYZF,2021-04-23
KNXD,2021-04-23
ABCF,2021-04-23
KKXD,2021-04-26
MCXD,2021-04-26
GLXD,2021-04-26
TLXD,2021-04-26
MTXD,2021-04-26
TPXD,2021-04-26
NCXD,2021-04-26
MKXD,2021-04-26
CPXD,2021-04-26
KNXD,2021-04-26
NFXD,2021-04-26
NCXD,2021-04-27
KNXD,2021-04-27
CPXD,2021-04-27
TPXD,2021-04-27
MTXD,2021-04-27
GLXD,2021-04-27
TLXD,2021-04-27
MKXD,2021-04-27
MCXD,2021-04-27
NFXD,2021-04-27
KKXD,2021-04-27
TPXD,2021-04-28
GLXD,2021-04-28
KNXD,2021-04-28
MCXD,2021-04-28
CPXD,2021-04-28
TLXD,2021-04-28
MKXD,2021-04-28
MTXD,2021-04-28
NCXD,2021-04-28
NFXD,2021-04-28
KKXD,2021-04-28
MCXD,2021-04-29
NCXD,2021-04-29
GLXD,2021-04-29
TLXD,2021-04-29
CPXD,2021-04-29
KKXD,2021-04-29
NFXD,2021-04-29
MKXD,2021-04-29
MTXD,2021-04-29
TPXD,2021-04-29
KNXD,2021-04-29
TLXD,2021-04-30
NCXD,2021-04-30
MCXD,2021-04-30
KNXD,2021-04-30
MKXD,2021-04-30
MTXD,2021-04-30
TPXD,2021-04-30
GLXD,2021-04-30
CPXD,2021-04-30
KKXD,2021-04-30
NFXD,2021-04-30
QRSTM,2021-05-01
MNOM,2021-05-01
GHIM,2021-05-01
XYZM,2021-05-01
JKLM,2021-05-01
ABCM,2021-05-01
DEFM,2021-05-01
UVWM,2021-05-01
KNXD,2021-05-03
KKXD,2021-05-03
NFXD,2021-05-03
CPXD,2021-05-03
TLXD,2021-05-03
GLXD,2021-05-03
MTXD,2021-05-03
TPXD,2021-05-03
MKXD,2021-05-03
NCXD,2021-05-03
MCXD,2021-05-03
GLXD,2021-05-04
CPXD,2021-05-04
NCXD,2021-05-04
MCXD,2021-05-04
KNXD,2021-05-04
MTXD,2021-05-04
TPXD,2021-05-04
NFXD,2021-05-04
TLXD,2021-05-04
KKXD,2021-05-04
MKXD,2021-05-04
MKXD,2021-05-05
TLXD,2021-05-05
KNXD,2021-05-05
CPXD,2021-05-05
NFXD,2021-05-05
KKXD,2021-05-05
MCXD,2021-05-05
TPXD,2021-05-05
GLXD,2021-05-05
NCXD,2021-05-05
MTXD,2021-05-05
TPXD,2021-05-06
KKXD,2021-05-06
NCXD,2021-05-06
MCXD,2021-05-06
MKXD,2021-05-06
KNXD,2021-05-06
CPXD,2021-05-06
GLXD,2021-05-06
MTXD,2021-05-06
NFXD,2021-05-06
TLXD,2021-05-06
JKLF,2021-05-07
UVWF,2021-05-07
GLXD,2021-05-07
ABCF,2021-05-07
NFXD,2021-05-07
MTXD,2021-05-07
NCXD,2021-05-07
MNOF,2021-05-07
MKXD,2021-05-07
XYZF,2021-05-07
GHIF,2021-05-07
KKXD,2021-05-07
DEFF,2021-05-07
MCXD,2021-05-07
KNXD,2021-05-07
TLXD,2021-05-07
QRSTF,2021-05-07
CPXD,2021-05-07
TPXD,2021-05-07
NCXD,2021-05-10
MKXD,2021-05-10
KNXD,2021-05-10
TLXD,2021-05-10
GLXD,2021-05-10
MTXD,2021-05-10
CPXD,2021-05-10
MCXD,2021-05-10
KKXD,2021-05-10
NFXD,2021-05-10
TPXD,2021-05-10
KNXD,2021-05-11
NFXD,2021-05-11
NCXD,2021-05-11
MKXD,2021-05-11
TPXD,2021-05-11
CPXD,2021-05-11
TLXD,2021-05-11
MCXD,2021-05-11
KKXD,2021-05-11
MTXD,2021-05-11
GLXD,2021-05-11
GLXD,2021-05-12
MTXD,2021-05-12
NCXD,2021-05-12
MCXD,2021-05-12
NFXD,2021-05-12
TPXD,2021-05-12
CPXD,2021-05-12
MKXD,2021-05-12
KNXD,2021-05-12
TLXD,2021-05-12
KKXD,2021-05-12
KKXD,2021-05-13
